ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL66554W,Pride and Prejudice,Jane Austen,1813,Yoyo USA,9781537712505,Paperback,srp,https://openlibrary.org/books/OL49198652M
ol_OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,1865,Unicorn Publishing House,9781653133185,Paperback,sco,https://openlibrary.org/books/OL56779443M
ol_OL8193465W,A Tale of Two Cities,Charles Dickens,1800,Scholastic Library #T-280,1454957549,Paperback,mul,https://openlibrary.org/books/OL46676459M
ol_OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,1899,Yoyo USA,1480222402,Paperback,hrv,https://openlibrary.org/books/OL48350308M
ol_OL20600W,Gulliver's Travels,Jonathan Swift,1726,World Pub. Co.,198379239X,Paperback,mul,https://openlibrary.org/books/OL35665010M
ol_OL503666W,Don Quixote,Miguel de Cervantes Saavedra,1600,Impr. de M. Martin,1545567638,Paperback,srp,https://openlibrary.org/books/OL45282336M
ol_OL262421W,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1892,Yoyo USA,9781976832154,Paperback,dut,https://openlibrary.org/books/OL57727280M
ol_OL63985W,The Legend of Sleepy Hollow,Washington Irving,1820,"Barnes & Noble, Incorporated",9798643993728,Paperback,wel,https://openlibrary.org/books/OL54992880M
ol_OL362427W,Romeo and Juliet,William Shakespeare,1597,"Penguin USA, Inc.",1449517382,Paperback,srp,https://openlibrary.org/books/OL49821437M
ol_OL77748W,Anne of the Island,Lucy Maud Montgomery,1826,Franklin Classics Trade Press,9788311131316,Paperback,dan,https://openlibrary.org/books/OL56718363M
ol_OL18396W,The Marvelous Land of Oz,L. Frank Baum,1904,Dent,9798513475118,Paperback,alb,https://openlibrary.org/books/OL55575605M
ol_OL43024W,As a man thinketh,James Allen,1902,"Science of Getting Rich- Annotated Integration Edition, The",1716408032,Paperback,hin,https://openlibrary.org/books/OL55517621M
ol_OL63996W,The Alhambra,Washington Irving,1800,Editorial Maxtor,9780371971314,Paperback,dut,https://openlibrary.org/books/OL11820614M
ol_OL462007W,Peter Pan,J. M. Barrie,1911,Kopernik Çocuk Yayinlari,9788478449033,Paperback,eng,https://openlibrary.org/books/OL57451108M
ol_OL15437W,Lilith,George MacDonald,1895,"Dodd, Mead and company",9781513277516,Paperback,ger,https://openlibrary.org/books/OL8904375M
ol_OL19870W,The Jungle Book,Rudyard Kipling,1894,OXALIDE,9780141362229,Paperback,eng,https://openlibrary.org/books/OL9154686M
