ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
gb_V1F6WpbRKlEC,The Bible Is Still the #1 Best Seller,Minister Marty Bennett,2009,Dorrance Publishing,9780805975734,Paperback,en,https://play.google.com/store/books/details?id=V1F6WpbRKlEC&source=gbs_api
gb_I8RjEAAAQBAJ,International Best Seller Classic Combo [Mr. Popper's Penguins - Richard Atwater & Florence Atwater + Tender Is The Night',Richard Atwater,2022,Prabhat Prakashan,,Paperback,en,https://play.google.com/store/books/details?id=I8RjEAAAQBAJ&source=gbs_api
gb_5khmEAAAQBAJ,Best Seller of Fairy Tales by H. C. Andersen,H. C. Andersen,2022,Prabhat Prakashan,,Paperback,en,https://play.google.com/store/books/details?id=5khmEAAAQBAJ&source=gbs_api
gb_jKGuCwAAQBAJ,Western and Hard-Boiled Detective Fiction in America,Cynthia S. Hamilton,1987,Springer,9781349083909,Paperback,en,https://play.google.com/store/books/details?id=jKGuCwAAQBAJ&source=gbs_api
gb_CpKFDAAAQBAJ,Bestsellers,C. Bloom,2008,Springer,9780230583870,Paperback,en,https://play.google.com/store/books/details?id=CpKFDAAAQBAJ&source=gbs_api
gb_qLqGDmjR0v4C,Peyton Place,Grace Metalious,1999,UPNE,1555534007,Paperback,en,http://books.google.com/books?id=qLqGDmjR0v4C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_-LiRHxXOHYEC,"Adventure, Mystery, and Romance",John G. Cawelti,1976,University of Chicago Press,9780226098678,Paperback,en,http://books.google.com/books?id=-LiRHxXOHYEC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_OYhCDwAAQBAJ,Blog Love Omega Glee,Wred Fright,2012,Frighty LLC,,Paperback,en,https://play.google.com/store/books/details?id=OYhCDwAAQBAJ&source=gbs_api
gb_RxxwnkPHlfEC,Children of Dune,Frank Herbert,2008,Penguin,9781440630514,Paperback,en,https://play.google.com/store/books/details?id=RxxwnkPHlfEC&source=gbs_api
gb_tKieEAAAQBAJ,"Dedicated to Sara. Fragments and Memories of a Love Affair, Some of it Fantasy, Some of it Real",Trizia,2022,Tektime,9788835446866,Paperback,en,https://play.google.com/store/books/details?id=tKieEAAAQBAJ&source=gbs_api
gb_s2UHCgAAQBAJ,Out of Deadlock,"Jennifer Byron, Enrico Minardi",2015,Cambridge Scholars Publishing,9781443879293,Paperback,en,https://play.google.com/store/books/details?id=s2UHCgAAQBAJ&source=gbs_api
gb_O92_BwAAQBAJ,"Transitions in Middlebrow Writing, 1880 - 1930","K. Macdonald, C. Singer",2015,Springer,9781137486776,Paperback,en,https://play.google.com/store/books/details?id=O92_BwAAQBAJ&source=gbs_api
gb_fJhn-qyi5csC,India in Britain,Susheila Nasta,2012,Springer,9780230392724,Paperback,en,https://play.google.com/store/books/details?id=fJhn-qyi5csC&source=gbs_api
gb_pwcUDAAAQBAJ,"Writers, Readers, and Reputations",Philip Waller,2008,Oxford University Press,9780199541201,Paperback,en,http://books.google.com/books?id=pwcUDAAAQBAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_PKd4EAAAQBAJ,THE PROVINCIAL AMERICAN AND OTHER PAPERS,MEREDITH NICHOLSON,1913,BEYOND BOOKS HUB,,Paperback,en,https://play.google.com/store/books/details?id=PKd4EAAAQBAJ&source=gbs_api
gb_OZpqDwAAQBAJ,Gale Researcher Guide for: J. K. Rowling and the Fantasy Genre,Paige Byam Soliday,,"Gale, Cengage Learning ",9781535853415,Paperback,en,https://play.google.com/store/books/details?id=OZpqDwAAQBAJ&source=gbs_api
gb_xoIiEAAAQBAJ,"The Novel, Volume 1",Franco Moretti,2006,Princeton University Press,9780691127187,Paperback,en,http://books.google.com/books?id=xoIiEAAAQBAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_u0lc44EHPp8C,The Nasty Little Writing Book,"Madelyne Simone Rovenhauer, D. W. St. John",2000,"ELDERBERRY PRESS, INC.",0965840786,Paperback,en,http://books.google.com/books?id=u0lc44EHPp8C&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
