ID,ltable_id,rtable_id,ltable_Title,ltable_Author,ltable_Year,ltable_Publisher,ltable_ISBN,ltable_Format,ltable_Language,ltable_URL,rtable_Title,rtable_Author,rtable_Year,rtable_Publisher,rtable_ISBN,rtable_Format,rtable_Language,rtable_URL
0,ol_OL66554W,gb_OCjczgEACAAJ,Pride and Prejudice,Jane Austen,1813,Yoyo USA,9781537712505,Paperback,srp,https://openlibrary.org/books/OL49198652M,Pride and Prejudic,Jane Austen,2021,,9798473095371,Paperback,en,http://books.google.com/books?id=OCjczgEACAAJ&dq=popular+romance+novels&hl=&as_pt=BOOKS&source=gbs_api
1,ol_OL82563W,gb_FZ0gswEACAAJ,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Bjartur,9604533088,Paperback,tha,https://openlibrary.org/books/OL48118497M,Harry Potter and the Philosopher's Stone,J. K. Rowling,2016,Bloomsbury Children's Books,1408871874,Paperback,en,http://books.google.com/books?id=FZ0gswEACAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
2,ol_OL82563W,gb_xYotngEACAAJ,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Bjartur,9604533088,Paperback,tha,https://openlibrary.org/books/OL48118497M,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Bloomsbury Pub Limited,0747532699,Paperback,en,http://books.google.com/books?id=xYotngEACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
3,ol_OL82563W,gb_utWSuAAACAAJ,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Bjartur,9604533088,Paperback,tha,https://openlibrary.org/books/OL48118497M,Harry Potter and the Sorcerer's Stone,J. K. Rowling,1999,Large Print Press,0786222727,Paperback,en,http://books.google.com/books?id=utWSuAAACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
4,ol_OL82563W,gb_YQNbEAAAQBAJ,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Bjartur,9604533088,Paperback,tha,https://openlibrary.org/books/OL48118497M,Harry Potter and the Philosopher's Stone,J. K. Rowling,2015,Bloomsbury Publishing,9781408845646,Paperback,en,http://books.google.com/books?id=YQNbEAAAQBAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
5,ol_OL82537W,gb_rQiFwgEACAAJ,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Gyldendal,9787223026246,Paperback,hin,https://openlibrary.org/books/OL53336125M,Harry Potter and the Chamber of Secrets,J. K. Rowling,2002,,0563532661,Paperback,en,http://books.google.com/books?id=rQiFwgEACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
6,ol_OL82537W,gb_TEDpjwEACAAJ,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Gyldendal,9787223026246,Paperback,hin,https://openlibrary.org/books/OL53336125M,Harry Potter and the Chamber of Secrets,J. K. Rowling,2016,Bloomsbury Children's Books,1408876833,Paperback,en,http://books.google.com/books?id=TEDpjwEACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
7,ol_OL82537W,gb_Ji1SvAEACAAJ,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Gyldendal,9787223026246,Paperback,hin,https://openlibrary.org/books/OL53336125M,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Bloomsbury Publishing,0747543933,Paperback,en,http://books.google.com/books?id=Ji1SvAEACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
8,ol_OL82537W,gb_cwNbEAAAQBAJ,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Gyldendal,9787223026246,Paperback,hin,https://openlibrary.org/books/OL53336125M,Harry Potter and the Chamber of Secrets,J. K. Rowling,2016,Bloomsbury Publishing,9781408845653,Paperback,en,http://books.google.com/books?id=cwNbEAAAQBAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
9,ol_OL82536W,gb_PCzYjgEACAAJ,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Mañjula Pabliśiṅga Hāusa,9780545791342,Paperback,ben,https://openlibrary.org/books/OL53348847M,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Bloomsbury Publishing,0747549508,Paperback,en,http://books.google.com/books?id=PCzYjgEACAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
10,ol_OL82536W,gb_q8zJAQAACAAJ,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Mañjula Pabliśiṅga Hāusa,9780545791342,Paperback,ben,https://openlibrary.org/books/OL53348847M,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,,074754557X,Paperback,en,http://books.google.com/books?id=q8zJAQAACAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
11,ol_OL82536W,gb_F2AmPQAACAAJ,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Mañjula Pabliśiṅga Hāusa,9780545791342,Paperback,ben,https://openlibrary.org/books/OL53348847M,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2004,,0747575339,Paperback,en,http://books.google.com/books?id=F2AmPQAACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
12,ol_OL82536W,gb_cK-wjgEACAAJ,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Mañjula Pabliśiṅga Hāusa,9780545791342,Paperback,ben,https://openlibrary.org/books/OL53348847M,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,,0747545928,Paperback,en,http://books.google.com/books?id=cK-wjgEACAAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
