ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL66554W,Pride and Prejudice,Jane Austen,1813,"Simon & Schuster, Limited",9781572700550,Paperback,pan,https://openlibrary.org/books/OL49198652M
ol_OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,1865,Omanut,9781986939218,Paperback,srp,https://openlibrary.org/books/OL56779443M
ol_OL8193465W,A Tale of Two Cities,Charles Dickens,1800,Omanut,1345050917,Paperback,pan,https://openlibrary.org/books/OL46676459M
ol_OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,1899,NXB Văn học,8427219628,Paperback,tlh,https://openlibrary.org/books/OL48350308M
ol_OL20600W,Gulliver's Travels,Jonathan Swift,1726,Anaya Publishers,9781974114115,Paperback,mal,https://openlibrary.org/books/OL35665010M
ol_OL503666W,Don Quixote,Miguel de Cervantes Saavedra,1600,NXB Văn học,9626345225,Paperback,srp,https://openlibrary.org/books/OL45282336M
ol_OL262421W,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1892,eBooksLib,9798754743755,Paperback,cat,https://openlibrary.org/books/OL51682750M
ol_OL63985W,The Legend of Sleepy Hollow,Washington Irving,1820,Books of Wonder,1514283581,Paperback,urd,https://openlibrary.org/books/OL54992880M
ol_OL362427W,Romeo and Juliet,William Shakespeare,1597,Shi jie shu ju,9780030573040,Paperback,urd,https://openlibrary.org/books/OL49821437M
ol_OL77748W,Anne of the Island,Lucy Maud Montgomery,1826,Editorial Alma,1730999611,Paperback,dan,https://openlibrary.org/books/OL56718363M
ol_OL18396W,The Marvelous Land of Oz,L. Frank Baum,1904,Treasure Press,9798750966899,Paperback,heb,https://openlibrary.org/books/OL55575605M
ol_OL43024W,As a man thinketh,James Allen,1902,Ancient Wisdom Publications,1973765942,Paperback,ita,https://openlibrary.org/books/OL55517621M
ol_OL63996W,The Alhambra,Washington Irving,1800,Club Everest,9798714033391,Paperback,mul,https://openlibrary.org/books/OL11820614M
ol_OL462007W,Peter Pan,J. M. Barrie,1911,Kopernik Çocuk Yayinlari,9788478449033,Paperback,eng,https://openlibrary.org/books/OL57451108M
ol_OL15437W,Lilith,George MacDonald,1895,"Dodd, Mead and company",9781513277516,Paperback,ger,https://openlibrary.org/books/OL8904375M
ol_OL655908W,The Night Before Christmas,Clement Clarke Moore,1857,Fukuinkan Shoten,0385257848,Paperback,jpn,https://openlibrary.org/books/OL39202193M
ol_OL10263W,Le petit prince,Antoine de Saint-Exupéry,1943,Pollina,9782070593392,Paperback,fao,https://openlibrary.org/books/OL53420478M
ol_OL318900W,The Prophet,Kahlil Gibran,1900,Ancient Wisdom Publications,0330319728,Paperback,kor,https://openlibrary.org/books/OL25113864M
ol_OL82563W,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,YKY,2070544877,Paperback,bul,https://openlibrary.org/books/OL48118497M
ol_OL27513W,The fellowship of the ring,J.R.R. Tolkien,1954,George Allen & Unwin Ltd,9780261102354,Paperback,ind,https://openlibrary.org/books/OL37028360M
ol_OL27479W,The Two Towers,J.R.R. Tolkien,1954,Gallimard,9781556903229,Paperback,hun,https://openlibrary.org/books/OL46845567M
ol_OL82537W,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,YKY,1536443735,Paperback,bul,https://openlibrary.org/books/OL53336125M
ol_OL27455W,The Return of the King,J.R.R. Tolkien,1950,ĖKSMO,9780261102378,Paperback,rus,https://openlibrary.org/books/OL47329668M
ol_OL82536W,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,YKY,2075117748,Paperback,bul,https://openlibrary.org/books/OL53348847M
ol_OL38237108W,Anthem,Ayn Rand,1838,Innovative Eggz LLC,1981454675,Paperback,eng,https://openlibrary.org/books/OL56717360M
ol_OL82560W,Harry Potter and the Goblet of Fire,J. K. Rowling,1993,YKY,9781408812808,Paperback,bul,https://openlibrary.org/books/OL51583995M
ol_OL82548W,Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,"Publicaciones y Ediciones Salamandra, S.A.",8418174609,Paperback,bul,https://openlibrary.org/books/OL53348962M
ol_OL19870W,El Libro de la selva / The Jungle Book,Rudyard Kipling,1914,Xs Books,9798667997443,Paperback,eng,https://openlibrary.org/books/OL30902582M
ol_OL52987W,The Very Hungry Caterpillar,Eric Carle,1969,Kaleidoskopio,9788804338352,Paperback,per,https://openlibrary.org/books/OL56971309M
ol_OL1140109W,The Good Earth,Pearl S. Buck,1931,The Modern Library,0835910598,Paperback,pan,https://openlibrary.org/books/OL48598190M
ol_OL76833W,Angels & Demons,Dan Brown,2000,Distributed by Random House,2266198122,Paperback,hun,https://openlibrary.org/books/OL54992451M
ol_OL675783W,The Handmaid's Tale,Margaret Atwood,1985,Everyman,9788532520661,Paperback,jpn,https://openlibrary.org/books/OL51647052M
ol_OL16336633W,Fifty Shades of Grey,E. L. James,2000,,1101911603,Paperback,eng,https://openlibrary.org/books/OL35620820M
ol_OL45885W,The BFG,Roald Dahl,1980,Scholastic,2070333000,Paperback,swe,https://openlibrary.org/books/OL49650236M
ol_OL82565W,Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,Bloomsbury UK,9781435762589,Paperback,bul,https://openlibrary.org/books/OL53332850M
ol_OL796465W,The Alchemist,Paulo Coelho,1988,DC Books,9780007155668,Paperback,dan,https://openlibrary.org/books/OL51729049M
ol_OL19560W,Loving,Danielle Steel,1641,AST,8427017677,Paperback,swe,https://openlibrary.org/books/OL47638562M
ol_OL1147931W,L'Heptaméron,"Marguerite Queen, consort of Henry II, King of Navarre",1740,Echo Library,5250019862,Paperback,eng,https://openlibrary.org/books/OL53694119M
ol_OL82586W,Harry Potter and the Deathly Hallows,J. K. Rowling,2007,"Publicaciones y Ediciones Salamandra, S.A.",9781408882245,Paperback,bul,https://openlibrary.org/books/OL53352183M
ol_OL1174969W,Botchan,夏目漱石,1918,P. Owen,9781480222434,Paperback,jpn,https://openlibrary.org/books/OL57529781M
ol_OL14873315W,The Lost Symbol,Dan Brown,2009,Mehatā Pabliśiṅga Hāūsa,9722524887,Paperback,eng,https://openlibrary.org/books/OL51723834M
ol_OL5720023W,Twilight,Stephenie Meyer,2005,Samā lil-Nashr,0748112510,Paperback,eng,https://openlibrary.org/books/OL51172248M
ol_OL893415W,Dune,Frank Herbert,1965,Orion Pub Co,0792748662,Paperback,spa,https://openlibrary.org/books/OL51999527M
ol_OL2779741W,A town like Alice,Nevil Shute,1950,Book Club,9781095513255,Paperback,spa,https://openlibrary.org/books/OL46930409M
ol_OL1673205W,The Godfather,Mario Puzo,1969,Izd-vo politicheskoĭ literatury,9788498723526,Paperback,eng,https://openlibrary.org/books/OL48593945M
ol_OL5781992W,The Kite Runner,Khaled Hosseini,2003,Albatros,9789023418993,Paperback,fre,https://openlibrary.org/books/OL47190372M
ol_OL5819456W,The Book Thief,Markus Zusak,1998,...,0385754728,Paperback,eng,https://openlibrary.org/books/OL44933331M
ol_OL5735363W,The Hunger Games,Suzanne Collins,2008,RBA,9781407192239,Paperback,eng,https://openlibrary.org/books/OL51747483M
ol_OL1517879W,The Four Just Men,Edgar Wallace,1905,Franklin Classics Trade Press,9780755114948,Paperback,eng,https://openlibrary.org/books/OL43688098M
ol_OL49488W,Ender's Game,Orson Scott Card,1985,Čarobna knjiga,9788477350491,Paperback,dut,https://openlibrary.org/books/OL57622046M
ol_OL50548W,Beloved,Toni Morrison,1987,Christian Bourgois,0783802625,Paperback,kor,https://openlibrary.org/books/OL47355419M
ol_OL37819848W,Pinocchio,Carlo Collodi,1921,Digireads.com Publishing,9781974000593,Paperback,ger,https://openlibrary.org/books/OL54821456M
